number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_num_train_epochs,state
86,0.4183839675940731,2024-04-02 04:13:27.906599,2024-04-02 04:14:24.243171,0 days 00:00:56.336572,4.507520012500274e-06,13,COMPLETE
87,0.4183839675940731,2024-04-02 04:14:24.243938,2024-04-02 04:15:37.512872,0 days 00:01:13.268934,3.4103671145697185e-06,17,COMPLETE
88,0.4183839675940731,2024-04-02 04:15:37.513703,2024-04-02 04:16:55.025898,0 days 00:01:17.512195,6.580430802452294e-07,18,COMPLETE
89,0.4183839675940731,2024-04-02 04:16:55.026632,2024-04-02 04:18:25.392095,0 days 00:01:30.365463,5.013423814613091e-06,21,COMPLETE
90,0.41994200780290164,2024-04-02 04:18:25.392784,2024-04-02 04:20:32.913420,0 days 00:02:07.520636,7.742453000338702e-06,29,COMPLETE
91,0.41994200780290164,2024-04-02 04:20:32.914127,2024-04-02 04:21:59.110299,0 days 00:01:26.196172,2.4890430512875783e-05,20,COMPLETE
92,0.417260779188276,2024-04-02 04:21:59.111192,2024-04-02 04:23:49.589821,0 days 00:01:50.478629,3.393397604465652e-05,25,COMPLETE
93,0.417260779188276,2024-04-02 04:23:49.590636,2024-04-02 04:25:43.965872,0 days 00:01:54.375236,1.4112495539342665e-05,26,COMPLETE
94,0.417260779188276,2024-04-02 04:25:43.966569,2024-04-02 04:27:21.521978,0 days 00:01:37.555409,1.1409500371315242e-05,22,COMPLETE
95,0.41994200780290164,2024-04-02 04:27:21.522832,2024-04-02 04:29:33.252794,0 days 00:02:11.729962,2.7262110501253622e-05,30,COMPLETE
96,0.41994200780290164,2024-04-02 04:29:33.253607,2024-04-02 04:31:40.944400,0 days 00:02:07.690793,1.911742987646452e-05,29,COMPLETE
97,0.41994200780290164,2024-04-02 04:31:40.945114,2024-04-02 04:33:40.039806,0 days 00:01:59.094692,1.1010558010902842e-06,27,COMPLETE
98,0.41994200780290164,2024-04-02 04:33:40.040637,2024-04-02 04:35:21.848204,0 days 00:01:41.807567,6.513612531893265e-06,23,COMPLETE
99,0.41994200780290164,2024-04-02 04:35:21.848924,2024-04-02 04:36:13.905085,0 days 00:00:52.056161,8.309755560666521e-07,12,COMPLETE
