number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_weight_decay,state
65,0.6264949711241271,2024-04-18 14:48:01.448954,2024-04-18 14:48:53.452195,0 days 00:00:52.003241,48,3.0485560097061392e-05,0.026882660600739405,COMPLETE
66,0.6264949711241271,2024-04-18 14:48:53.453027,2024-04-18 14:49:45.463569,0 days 00:00:52.010542,48,0.00040161359648273245,0.0480679955647643,COMPLETE
67,0.6264949711241271,2024-04-18 14:49:45.464357,2024-04-18 14:50:37.648927,0 days 00:00:52.184570,48,0.00013344899223941426,0.033151465189345725,COMPLETE
68,0.6264949711241271,2024-04-18 14:50:37.649604,2024-04-18 14:51:29.268126,0 days 00:00:51.618522,48,2.212506777283334e-05,0.03660975068567547,COMPLETE
69,0.6264949711241271,2024-04-18 14:51:29.268893,2024-04-18 14:52:21.214288,0 days 00:00:51.945395,48,6.338871561783913e-07,0.04095075809195095,COMPLETE
70,0.6251429790736779,2024-04-18 14:52:21.215045,2024-04-18 14:53:13.884258,0 days 00:00:52.669213,32,9.109407371041666e-05,0.0246606480923906,COMPLETE
71,0.6277868521363428,2024-04-18 14:53:13.885030,2024-04-18 14:54:05.841001,0 days 00:00:51.955971,48,1.6686883375087302e-05,0.00884764858833596,COMPLETE
72,0.6272354334854334,2024-04-18 14:54:05.841789,2024-04-18 14:54:57.637915,0 days 00:00:51.796126,48,1.2302295962506576e-05,0.012268181333380857,COMPLETE
73,0.6372945980386248,2024-04-18 14:54:57.638813,2024-04-18 14:55:50.620960,0 days 00:00:52.982147,48,0.0002552736994563356,0.003036800732079339,COMPLETE
74,0.6372945980386248,2024-04-18 14:55:50.621759,2024-04-18 14:56:42.855277,0 days 00:00:52.233518,48,5.557749432370859e-05,0.030659159401776763,COMPLETE
75,0.6373369610885948,2024-04-18 14:56:42.856102,2024-04-18 14:57:34.478381,0 days 00:00:51.622279,48,0.00032330336792481967,0.021453077658184494,COMPLETE
76,0.6373369610885948,2024-04-18 14:57:34.479220,2024-04-18 14:58:26.659898,0 days 00:00:52.180678,48,0.00016219051353268067,0.04455190213331323,COMPLETE
77,0.6373369610885948,2024-04-18 14:58:26.660761,2024-04-18 14:59:18.077504,0 days 00:00:51.416743,48,0.00042318415829238826,0.028620775978318334,COMPLETE
78,0.6373369610885948,2024-04-18 14:59:18.078328,2024-04-18 15:00:11.550511,0 days 00:00:53.472183,48,3.827581000276792e-06,0.04939324572417983,COMPLETE
79,0.6358019186541946,2024-04-18 15:00:11.551346,2024-04-18 15:01:04.388681,0 days 00:00:52.837335,48,0.0004930510680085796,0.019275116379210658,COMPLETE
80,0.6358019186541946,2024-04-18 15:01:04.389482,2024-04-18 15:01:56.755148,0 days 00:00:52.365666,48,0.0002791933320650176,0.03896424167734765,COMPLETE
81,0.6358019186541946,2024-04-18 15:01:56.755680,2024-04-18 15:02:49.618384,0 days 00:00:52.862704,48,7.235172698246519e-05,0.03747585528380113,COMPLETE
82,0.6358019186541946,2024-04-18 15:02:49.619110,2024-04-18 15:03:42.039636,0 days 00:00:52.420526,48,3.875651322633701e-05,0.03499772548475646,COMPLETE
83,0.6358019186541946,2024-04-18 15:03:42.040266,2024-04-18 15:04:33.262832,0 days 00:00:51.222566,48,8.255777960985821e-06,0.03240247122428246,COMPLETE
84,0.6370218784552217,2024-04-18 15:04:33.263711,2024-04-18 15:05:24.922280,0 days 00:00:51.658569,48,0.00011434965412771598,0.04274848514176383,COMPLETE
85,0.6370218784552217,2024-04-18 15:05:24.923049,2024-04-18 15:06:16.285308,0 days 00:00:51.362259,48,4.756723835910746e-05,0.04747242177297786,COMPLETE
86,0.6370218784552217,2024-04-18 15:06:16.286064,2024-04-18 15:07:07.691741,0 days 00:00:51.405677,48,2.1015517223551404e-05,0.02658140927327546,COMPLETE
87,0.5829268129767216,2024-04-18 15:07:07.692480,2024-04-18 15:08:00.537923,0 days 00:00:52.845443,16,8.934001299962332e-05,0.016676174937614474,COMPLETE
88,0.6270318445078655,2024-04-18 15:08:00.538656,2024-04-18 15:08:52.050736,0 days 00:00:51.512080,48,5.782190551489715e-05,0.03440099978790704,COMPLETE
89,0.635430730559684,2024-04-18 15:08:52.051500,2024-04-18 15:09:44.048953,0 days 00:00:51.997453,48,3.10692587252232e-05,0.030321503618758443,COMPLETE
90,0.6318886054283279,2024-04-18 15:09:44.049764,2024-04-18 15:10:35.374447,0 days 00:00:51.324683,48,0.00017565372214647812,0.04582392856937999,COMPLETE
91,0.6305263050402632,2024-04-18 15:10:35.375070,2024-04-18 15:11:26.741731,0 days 00:00:51.366661,48,4.3921956853300046e-05,0.00020180494394662256,COMPLETE
92,0.6291772682659735,2024-04-18 15:11:26.742563,2024-04-18 15:12:18.217351,0 days 00:00:51.474788,48,1.4126220210493234e-05,0.005665137723579625,COMPLETE
93,0.6330725762314589,2024-04-18 15:12:18.218109,2024-04-18 15:13:09.502791,0 days 00:00:51.284682,48,3.705703962480167e-05,0.001997836055647007,COMPLETE
94,0.6242220081632963,2024-04-18 15:13:09.503582,2024-04-18 15:14:00.678071,0 days 00:00:51.174489,48,0.00022809870772492186,0.00041815541067615397,COMPLETE
95,0.6214932829769441,2024-04-18 15:14:00.678817,2024-04-18 15:14:51.671557,0 days 00:00:50.992740,48,6.238171339691999e-05,0.0042627424912252175,COMPLETE
96,0.6230273644056987,2024-04-18 15:14:51.672400,2024-04-18 15:15:44.398694,0 days 00:00:52.726294,48,0.00034926046828053094,0.0072028875228691055,COMPLETE
97,0.6230273644056987,2024-04-18 15:15:44.399537,2024-04-18 15:16:36.651833,0 days 00:00:52.252296,48,4.880971296687036e-06,0.02456493090141426,COMPLETE
98,0.6230273644056987,2024-04-18 15:16:36.652663,2024-04-18 15:17:28.514258,0 days 00:00:51.861595,48,8.167349635956612e-05,0.022574213777874726,COMPLETE
99,0.6230273644056987,2024-04-18 15:17:28.515012,2024-04-18 15:18:20.113888,0 days 00:00:51.598876,48,0.00011544810352056638,0.0026181077553596617,COMPLETE
100,0.5445692467839376,2024-04-18 15:18:20.114428,2024-04-18 15:19:11.786474,0 days 00:00:51.672046,32,0.0004341170100101341,0.04887909088019656,COMPLETE
101,0.5875380072768078,2024-04-18 15:19:11.787334,2024-04-18 15:20:03.007649,0 days 00:00:51.220315,48,0.00021994320056376333,0.04483420733344399,COMPLETE
102,0.6124755051661832,2024-04-18 15:20:03.008409,2024-04-18 15:20:54.111267,0 days 00:00:51.102858,48,0.00018283808764511735,0.04548112365926393,COMPLETE
103,0.6331036169468458,2024-04-18 15:20:54.112132,2024-04-18 15:21:46.051021,0 days 00:00:51.938889,48,0.00013043485103557008,0.04742351260794637,COMPLETE
